benchmark_set,algorithm,FM,AM,AR,FM_std,AM_std,AR_std
sipu_compound,hierarchy_single,0.8304263995847698,0.7947534959533824,0.7424809448687679,0.8349823110391558,0.7885626497992543,0.7564987501688731
sipu_d31,hierarchy_single,0.34915270171594204,0.6283042680606857,0.1739021944675327,0.3331539142511055,0.5975540122717408,0.15448870874812934
sipu_flame,hierarchy_single,0.7300235270476356,0.016414654381802767,0.012750430131139348,0.7300235270476356,0.016414654381802767,0.012750430131139348
sipu_jain,hierarchy_single,0.8037825414782548,0.2437349963087788,0.2562885120743812,0.7839932012749101,0.007071430757477424,0.00986341671438256
sipu_pathbased,hierarchy_single,0.5733922705965514,0.0004351915454570978,0.0005195217986860517,0.5716892088537833,0.0061021687178556645,0.0008944917466589271
sipu_r15,hierarchy_single,0.6374570926794036,0.8697598535640887,0.5424573784026467,0.6374570926794036,0.8697598535640887,0.5424573784026467
sipu_s1,hierarchy_single,0.5893379712822749,0.7909959827906199,0.463522341495289,0.5893379712822749,0.7909959827906199,0.463522341495289
sipu_s2,hierarchy_single,0.25704035404141745,0.0009456347932308533,-2.0451192246367664e-05,0.2571129303902274,0.0007227624673793973,-8.812015852148885e-06
sipu_s3,hierarchy_single,0.2567632937061424,0.0021309102866500927,-1.3405361685175102e-05,0.2567632937061424,0.0021309102866500927,-1.3405361685175102e-05
sipu_s4,hierarchy_single,0.25703838866816503,0.002229900909378449,4.648363862490916e-05,0.25703838866816503,0.002229900909378449,4.648363862490916e-05
sipu_spiral,hierarchy_single,1.0,1.0,1.0,1.0,1.0,1.0
sipu_unbalance,hierarchy_single,0.9991624822797988,0.9920479538797152,0.9988276318631844,0.7747526431968783,0.8099202242285172,0.6119177720383233
wut_cross,hierarchy_single,0.4983785638012979,0.0014865635826370072,4.019398292051506e-06,0.4983785638012979,0.0014865635826370072,4.019398292051506e-06
wut_smile,hierarchy_single,1.0,1.0,1.0,1.0,1.0,1.0
wut_twosplashes,hierarchy_single,0.7009839821471602,0.009830847235395236,0.00015038716235026765,0.7009839821471602,0.009830847235395236,0.00015038716235026765
wut_x1,hierarchy_single,1.0,1.0,1.0,1.0,1.0,1.0
wut_x2,hierarchy_single,0.5708978911132009,-0.0058197020985404965,-0.006922577960764702,0.5708978911132009,-0.0058197020985404965,-0.006922577960764702
